,LABEL,archer,archery,arrow,bag,beginner,better,bought,bow,broke,buy,come,comfortable,compound,customer,day,decided,did,didn,different,disappointed,don,dont,draw,easy,far,feel,fine,good,got,great,grip,guide,ha,hand,help,hole,hunting,husband,im,inch,just,lb,light,like,limb,little,ll,long,look,looking,lower,make,manual,maybe,metal,money,month,need,nice,overall,piece,plastic,practice,price,problem,purchased,read,really,recommend,recurve,rest,review,riser,rubber,said,set,shoot,shooting,shot,sight,standard,strength,string,stringer,sure,target,time,upper,use,used,ve,video,wa,wanted,way,weight,work,worth,yard,year
0,Positive,0,0,3,0,0,0,1,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,3,1,1,2,2,2,1,1,0,3,0,0,0,0,0,1,0,0,4,3,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,3,0,2,2,3,0,0,0,0,0,0,1,0,0,1,0,0,0,4,1,1,0,0,0,0,1
1,Negative,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
2,Positive,0,1,1,1,0,0,1,9,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,1,1,0,1,0,0,0,3,1,1,0,0,0,1,1,0,0,1,0,0,0,3,1,2,0,0,0,0,0,0,1
3,Negative,0,0,1,0,0,1,0,5,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,3,2,0,1,0,0,0
4,Positive,1,5,2,0,2,0,1,9,0,2,1,0,2,0,1,1,1,0,0,1,1,0,3,0,0,0,0,2,0,0,0,0,0,0,2,0,2,1,0,2,1,2,3,2,4,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,3,4,2,1,0,2,3,2,0,0,0,0,5,0,0,0,0,1,2,2,0,0,0,1,0,3,0,0,0,2
5,Negative,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0
6,Positive,1,1,4,0,0,0,2,9,0,2,1,1,0,0,0,1,0,0,1,0,2,0,0,0,0,2,1,0,0,2,0,0,1,1,1,1,1,0,0,1,5,2,0,1,0,0,3,1,3,0,0,0,0,0,1,1,0,0,4,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,5,2,0,1,0,0,2,1,2,3,0,0,1,1,1,1,1,1,0,0,1,0,1,0
7,Negative,0,0,1,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Positive,0,0,1,0,0,1,0,6,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,3,1,0,1,0,0,0,1,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,1,0,1,0,1,0,3,0,2,1,1,1,1,0,1,0,0,0,2,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0
9,Negative,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
10,Positive,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Negative,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Positive,0,1,3,0,0,0,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,6,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,5,0,0,0,1,1,0,2,1,0,3,0,0,0,0,1,1,0,0,0,1,0,3,0,0,0,0,0
